id,corridor_id,source_code,source_name,source_region,source_income,source_lending,source_G8G20,destination_code,destination_name,destination_region,destination_income,destination_lending,destination_G8G20,payment instrument,access point,speed actual,receiving network coverage,pickup method,date,cc1 lcu amount,cc1 denomination amount,cc1 lcu code,cc1 lcu fee,cc1 lcu fx rate,cc1 fx margin,cc1 total cost %,cc2 lcu amount,cc2 denomination amount,cc2 lcu code,cc2 lcu fee,cc2 lcu fx rate,cc2 fx margin,cc2 total cost %,inter lcu bank fx,transparent,Standard Note,note2,regulatory_risk_score,fx_volatility,aml_risk_index,correspondent_network_depth,transfer_time_estimate_days,composite_cost_score,political_stability_index,regulatory_quality_score,rule_of_law_index,government_effectiveness,financial_system_development,banking_sector_stability,payment_system_efficiency,aml_effectiveness_score,tax_transparency_score,reporting_requirements_index,currency_convertibility_score,capital_mobility_index,treaty_network_density,financial_sanctions_risk,dispute_resolution_mechanism,bilateral_tax_treaty_strength,double_taxation_avoidance,information_exchange_agreement,jurisdictional_hops_count,regulatory_domain_changes,currency_conversions_count,withholding_tax_rate,financial_transaction_tax,compliance_documentation_cost,settlement_risk_index
443,NGA-MAR,NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Low,No,MAR,Morocco,Middle East & North Africa,Lower middle income,Low,No,Mobile Wallet,Agent Network,2-5 days,High,Branch,2024-07-04,489,35.97,INR,4.27,58.7326,0.0029,0.0116,480,10.09,NGN,5.41,6.6034,0.0155,0.0268,0.0151,Opaque,High AML checks required,,0.724,0.099,0.65,5,3,0.294,0.1853504975276463,0.5415930556046157,0.4378277683081257,0.5305422442857428,0.5460842337054692,0.6771814002084882,0.5070468604333382,0.331222714865221,0.3911511652785611,0.4992162954015156,0.3764749609687859,0.3417733700962343,0.3129247982482511,0.80254993585184,0.4165694090101056,0.1236645555258768,1,1,3,0,1,0.202,0.0121,22.21,0.40190694799521487
444,TUR-KEN,TUR,Turkey,Europe & Central Asia,Upper middle income,Medium,No,KEN,Kenya,Sub-Saharan Africa,Low income,Low,No,Card Transfer,Agent Network,3-7 days,Very High,ATM,2021-11-07,9344,2632.3,INR,129.76,42.7803,0.0128,0.0267,9211,408.37,PHP,152.06,74.0968,0.0181,0.0346,0.0183,Opaque,Correspondent path uses two intermediaries,,0.496,0.1,0.729,6,2,0.2757,0.5563671175519144,0.70383477073623,0.4927748247227397,0.7812539044224246,0.4747398920697815,0.77295128179582,0.7210164467688305,0.3440760102027174,0.875295315884864,0.5423505657395241,0.5647019173413242,0.451149536625918,0.5235978366808391,0.3652888246867951,0.6123174634247598,0.5142644612531249,1,1,4,1,2,0.191,0.0098,9.2,0.4393055952584654
445,IDN-CHN,IDN,Indonesia,East Asia & Pacific,Lower middle income,Medium,G8G20,CHN,China,East Asia & Pacific,Upper middle income,High,G8G20,Bank Transfer,Online Portal,2-5 days,High,Mobile Wallet,2023-05-24,14967,249.16,GBP,176.53,82.0163,0.0102,0.022,15139,389.65,ZAR,210.28,8.4141,0.0166,0.0305,0.0158,Transparent,Correspondent path uses two intermediaries,,0.181,0.037,0.339,5,2,0.1303,0.4259870372138112,0.3534844200804104,0.1178043059311434,0.362076620522043,0.1659026815952066,0.4724524757069667,0.3224839723660837,0.369603242589896,0.5076889977829525,0.2361501565678399,0.5973507510214542,0.3679932519976616,0.5603833762478703,0.5938183135837857,0.2991408417391969,0.4324686140474346,1,1,1,2,1,0.097,0.0082,21.37,0.49346365993941765
446,SGP-RUS,SGP,Singapore,East Asia & Pacific,High income,High,No,RUS,Russia,Europe & Central Asia,Upper middle income,Medium,G8G20,Mobile Wallet,Mobile App,Instant,High,Branch,2021-10-04,2773,37.02,GBP,20.79,58.7656,0.0187,0.0262,2730,121.11,EUR,15.43,4.6541,0.02,0.0257,0.0104,Transparent,Prefer local bank transfer where possible,,0.279,0.077,0.684,7,5,0.2186,0.6977052324451637,0.699026058304519,0.6926592179155451,0.7746472161380399,1.0,0.5979094705448507,0.8427696790740504,0.8249884313584852,0.7732138289990156,0.9071838203320242,0.8610785604289771,0.7978538269376867,0.8210795456416012,0.138082342205838,0.7531509514063435,0.8119372847503655,1,0,3,1,3,0.239,0.0042,67.53,0.33036070585960464
447,ARG-MAR,ARG,Argentina,Latin America & Caribbean,Upper middle income,Medium,G8G20,MAR,Morocco,Middle East & North Africa,Lower middle income,Low,No,Mobile Wallet,Mobile App,1-2 days,High,Home Delivery,2025-01-29,1676,86.63,USD,15.09,38.2946,0.0113,0.0203,1685,22.62,EUR,18.26,0.952,0.0144,0.0252,0.0117,Transparent,Correspondent path uses two intermediaries,,0.705,0.066,0.696,1,1,0.3029,0.4716966048140026,0.5266587417576808,0.4866407173881264,0.7423682992199689,0.2634780372817144,0.677471860171553,0.6441126177040267,0.3482955448914256,0.5871672134963203,0.6070902390197839,0.740756707762888,0.3017806324346062,0.7139667294225327,0.4385284045621809,0.6823881296103812,0.6389288536818744,0,1,2,0,3,0.228,0.0097,104.61,0.4939917895316218
448,UKR-AUS,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,AUS,Australia,Oceania,High income,High,G8G20,Remittance Service,Agent Network,2-5 days,Very High,Agent,2021-09-27,13812,24543.05,CNY,167.38,18.1311,0.0111,0.0232,14040,2077.99,EUR,90.79,62.6881,0.0141,0.0206,0.0076,Opaque,Standard corridor - no special restrictions,,0.069,0.035,0.764,3,3,0.1885,0.2447963497256848,0.479255194282186,0.303740811090517,0.1314347384794211,0.5901290310633334,0.3369946044380512,0.3374607844714334,0.3016320958355933,0.3826684070392865,0.3431275507013477,0.5357680309648605,0.2592612760165609,0.2609136355483118,0.563919648678584,0.6277464751190447,0.336342495390349,1,0,2,0,1,0.241,0.0068,46.95,0.5372144256407174
449,CHE-SAU,CHE,Switzerland,Europe,High income,High,No,SAU,Saudi Arabia,Middle East & North Africa,High income,High,G8G20,Mobile Wallet,Correspondent Bank,2-5 days,Medium,Branch,2021-06-12,4158,317.8,GBP,25.8,58.6459,0.009,0.0152,4053,67.55,GBP,27.87,22.642,0.0148,0.0217,0.0014,Opaque,High AML checks required,,0.32,0.047,0.871,8,3,0.2567,0.8802266716393958,0.8046266202541181,0.6919609635074918,0.7503930691062671,0.8297896345565342,0.9024374886752886,1.0,0.7931617017223586,0.8924493214490107,0.6342252314844378,0.8202443389423163,0.73308369589508,0.7877333509049823,0.1930750062215296,0.8875727524441035,0.638279794604107,0,1,3,2,1,0.107,0.0108,128.2,0.18833596991959678
450,TUR-POL,TUR,Turkey,Europe & Central Asia,Upper middle income,Medium,No,POL,Poland,Europe,High income,Medium,No,Mobile Wallet,Agent Network,1-2 days,Medium,Agent,2021-03-08,5000,217.75,KES,37.65,61.2574,0.0087,0.0162,5002,87.99,EUR,38.97,28.7412,0.0051,0.0129,0.0102,Transparent,Correspondent path uses two intermediaries,,0.603,0.015,0.609,7,0,0.257,0.5551637167985538,0.6824229493214709,0.3021636669951268,0.8345957568796245,0.6160217738144149,0.3869952103588592,0.6589712678292143,0.5540132161567781,0.5401726744513009,0.6689429335512,0.7596933965712468,0.6557451429228616,0.6040186760735977,0.3625230139325703,0.8130589019088059,0.372496477797068,1,1,4,0,2,0.049,0.0135,68.45,0.3228943773733258
451,MAR-KEN,MAR,Morocco,Middle East & North Africa,Lower middle income,Low,No,KEN,Kenya,Sub-Saharan Africa,Low income,Low,No,Remittance Service,Mobile App,Instant,Very High,Home Delivery,2024-06-17,1784,64.44,GBP,21.5,78.5965,0.0103,0.0224,1793,99.97,USD,17.06,36.741,0.0197,0.0292,0.0161,Transparent,Requires documentation for large amounts,,0.527,0.052,0.271,8,0,0.1854,0.3667582009059075,0.4078029557426536,0.4475936487277511,0.2787375347090121,0.2407592877124156,0.4488187619317831,0.4737476590662324,0.5287519291337178,0.1975565544409896,0.4885632520060063,0.7540897236832546,0.3746682134973027,0.1950869336608131,0.5988369239648046,0.4016805960845656,0.4176545450008297,0,0,2,0,2,0.157,0.0127,145.39,0.6424785083272194
452,POL-RUS,POL,Poland,Europe,High income,Medium,No,RUS,Russia,Europe & Central Asia,Upper middle income,Medium,G8G20,Card Transfer,Online Portal,2-5 days,Low,Mobile Wallet,2024-05-01,1372,23.78,ZAR,11.91,2.2669,0.0132,0.0219,1334,267.17,NGN,13.83,19.9281,0.0065,0.0169,0.0017,Transparent,Prefer local bank transfer where possible,,0.616,0.012,0.56,1,1,0.2546,0.4790326324194344,0.7866238240976811,0.4162561221990326,0.3712953817392641,0.7828052509144781,0.357045476255256,0.615504427735274,0.9241217355049658,0.5485547736448083,0.4155078819164501,0.6631123043455848,0.6139039053656561,0.569277992842374,0.2705284421408456,0.4753066597958714,0.7525057666284153,1,1,1,0,2,0.171,0.0092,143.35,0.5646170784601486
453,DEU-RUS,DEU,Germany,Europe,High income,High,G8G20,RUS,Russia,Europe & Central Asia,Upper middle income,Medium,G8G20,Mobile Wallet,Bank Branch,3-7 days,Medium,Mobile Wallet,2024-02-17,6397,175.72,PHP,52.23,72.8937,0.0092,0.0174,6436,798.81,ZAR,82.08,17.4396,0.0039,0.0167,0.0072,Opaque,Standard corridor - no special restrictions,,0.686,0.042,0.532,7,5,0.2607,0.7794137141247142,0.8872152855682165,0.6746220720293229,0.934365856439464,0.8191537109424322,0.8633063016192237,0.7280272707375468,0.6303682048317448,0.8325846367743459,0.6967671803751136,0.7675412294994748,0.7428179989567564,0.8338743686060905,0.2254845433444333,0.7858814082077403,0.7518033300344517,0,1,3,2,3,0.031,0.0111,117.13,0.13171287443973476
454,CHE-ARG,CHE,Switzerland,Europe,High income,High,No,ARG,Argentina,Latin America & Caribbean,Upper middle income,Medium,G8G20,Remittance Service,Mobile App,1-2 days,Medium,Mobile Wallet,2022-08-26,6136,134.32,CNY,47.98,39.7663,0.0095,0.0173,6333,128.31,CNY,69.08,10.51,0.0197,0.0306,0.0169,Transparent,Requires documentation for large amounts,,0.45,0.069,0.059,1,2,0.1258,0.5199181336787642,0.6234648313551778,0.7903533467097075,0.6915564766616764,0.9768069893536502,0.9460168525100652,0.9263002399626524,0.9683726144775116,0.7400292806708181,0.8278658311084607,0.7998718828084763,1.0,0.9880360382923224,0.1485743478578649,0.8463903475886231,0.9131157119237768,1,1,1,1,3,0.197,0.0057,140.2,0.3104855818621413
455,UKR-CHN,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,CHN,China,East Asia & Pacific,Upper middle income,High,G8G20,Mobile Wallet,Online Portal,Same day,High,ATM,2021-10-05,576,50.79,EUR,4.94,17.1202,0.0072,0.0158,568,484.69,AUD,3.76,71.4131,0.0125,0.0191,0.0168,Opaque,Prefer local bank transfer where possible,,0.658,0.087,0.984,7,0,0.3458,0.3323432594223071,0.3212051115040354,0.4548787701208259,0.3894127095300404,0.4719593339574312,0.3298874388318441,0.2338793421963924,0.3783370891854921,0.4585954449793039,0.322903190110875,0.642371542347064,0.3355300409501346,0.2234354654040896,0.5580676368635358,0.3900888909578451,0.4423962477602267,1,1,3,0,3,0.005,0.0005,107.53,0.5863690857953071
456,SGP-RUS,SGP,Singapore,East Asia & Pacific,High income,High,No,RUS,Russia,Europe & Central Asia,Upper middle income,Medium,G8G20,Bank Transfer,Online Portal,2-5 days,High,Agent,2024-11-17,686,143.01,GBP,11.3,75.5206,0.0007,0.0172,659,10.0,KES,5.99,27.2529,0.0042,0.0133,0.0024,Transparent,High AML checks required,,0.303,0.113,0.403,3,2,0.1564,0.6570044611123218,0.964171308417788,0.9860300355009904,0.775302716763799,0.999965250422118,0.7032203515249688,0.96902658494183,0.8756731690271355,0.8536124736227855,0.7481324293355647,0.5154901270509562,0.7429927427617445,0.6748900778778477,0.2673905925672573,0.814669160545648,0.6997243865374518,1,1,2,2,3,0.121,0.0125,134.86,0.1548552601285187
457,GBR-DEU,GBR,United Kingdom,Europe,High income,High,G8G20,DEU,Germany,Europe,High income,High,G8G20,Cash Pickup,Agent Network,Same day,High,Agent,2024-02-02,4719,83.33,PHP,93.92,41.9434,0.0126,0.0325,4755,262.98,AUD,93.62,23.2406,0.0093,0.029,0.019,Opaque,Requires documentation for large amounts,,0.507,0.069,0.884,7,0,0.309,0.6510465588281974,0.6729439822102616,0.6641384417417726,0.9145799054219914,0.7706769934447006,0.7682073552280073,0.7851962861972104,0.7906792216571303,0.8047499386234239,0.3846412152908205,0.9925962256593128,0.9923641641092504,0.6239776155165997,0.2666757893681801,0.7459695934666075,0.6592795176652074,0,0,4,0,2,0.083,0.0051,39.29,0.23715635680545305
458,CHE-BRA,CHE,Switzerland,Europe,High income,High,No,BRA,Brazil,Latin America & Caribbean,Upper middle income,Medium,G8G20,Remittance Service,Correspondent Bank,3-7 days,Very High,Home Delivery,2023-05-10,272,396.14,EUR,3.37,10.7469,0.0044,0.0168,261,7.87,EUR,4.26,15.5791,0.0176,0.0339,0.0146,Transparent,Standard corridor - no special restrictions,,0.283,0.081,0.489,5,1,0.1798,0.7768712248735927,0.5664169656369363,0.6158486870355913,0.964703664020989,0.7386136039182378,0.979211393372351,0.8826405834708164,0.532887874249409,0.8262395034259448,0.7358799237368576,0.8153439532500312,0.8493948511806405,0.8069560182680151,0.0650889813630456,0.9413903417057604,0.7989763095334028,1,1,3,2,3,0.185,0.0134,55.09,0.1257709213096751
459,IRL-CHE,IRL,Ireland,Europe,High income,High,No,CHE,Switzerland,Europe,High income,High,No,Remittance Service,Agent Network,Instant,Medium,ATM,2021-01-26,2779,57.97,EUR,33.14,28.9936,0.0072,0.0191,2782,59.16,GBP,26.62,30.8641,0.0014,0.011,0.0072,Transparent,High AML checks required,,0.464,0.078,0.33,8,1,0.1738,0.5849239093456367,0.7431625450818571,1.0,0.8669389272458073,1.0,0.9974520898639022,0.8690162485866898,0.7861688483737341,0.7456103952147785,0.54146344609842,0.8721656702961869,0.9652809463050638,0.6780432006214556,0.1005656401125828,0.9021909255071836,0.640838347282503,1,0,3,0,3,0.078,0.0149,114.17,0.18356208335833815
460,POL-MEX,POL,Poland,Europe,High income,Medium,No,MEX,Mexico,Latin America & Caribbean,Upper middle income,Medium,G8G20,Mobile Wallet,Bank Branch,Instant,High,Agent,2023-04-20,751,14.97,GBP,8.11,24.0647,0.0107,0.0215,785,141.97,AUD,6.75,76.0239,0.0128,0.0214,0.0242,Opaque,Requires documentation for large amounts,,0.654,0.062,0.748,8,0,0.3018,0.4958436562787603,0.477850621142741,0.4513401271972712,0.4254873659616327,0.5419461846346368,0.8003346816957406,0.5301427565091649,0.5651751062872828,0.4896557495594853,0.6914639124444327,0.827339475592434,0.7236883978566737,0.5867361463723306,0.3777271444209078,0.4569750354970501,0.7832234657346637,1,1,1,2,3,0.207,0.0183,66.56,0.3062546528893382
461,SAU-IND,SAU,Saudi Arabia,Middle East & North Africa,High income,High,G8G20,IND,India,South Asia,Lower middle income,High,No,Bank Transfer,Correspondent Bank,1-2 days,High,Agent,2024-08-30,1353,125.82,GBP,16.54,40.085,0.008,0.0202,1323,425.73,INR,15.0,36.0183,0.0058,0.0171,0.0129,Transparent,Standard corridor - no special restrictions,,0.355,0.097,0.546,6,3,0.1989,0.4588392378696936,0.6796375616439411,0.6771478687148077,0.5133663403713605,0.7745615032779155,0.7217055844006627,0.8473556602458119,0.4936784240287947,0.3956963179264342,0.4893412293466587,0.6950624251041199,0.6269855272502068,0.502787452447054,0.5791036950772691,0.6564579595354929,0.786681337489864,1,0,2,0,3,0.149,0.0192,126.41,0.6857670159499667
462,CHN-POL,CHN,China,East Asia & Pacific,Upper middle income,High,G8G20,POL,Poland,Europe,High income,Medium,No,Bank Transfer,Correspondent Bank,Instant,Medium,Mobile Wallet,2021-11-27,3717,226.27,USD,44.59,19.0666,0.0049,0.0169,3694,58.94,INR,37.07,67.44,0.0208,0.0308,0.0132,Transparent,Correspondent path uses two intermediaries,,0.498,0.047,0.237,5,1,0.1708,0.6057101485747605,0.6730962622864217,0.6186934367386122,0.627645600385888,0.7617999160241714,0.6774448417422799,0.6024787396416069,0.4544813307989496,0.520123161366319,0.5876955395740799,0.6320700446652432,0.6577206419757717,0.6026980160440502,0.2500184682475781,0.7539353962606777,0.5593608902174629,1,1,1,1,1,0.198,0.0002,132.26,0.45423162623660746
463,IDN-ESP,IDN,Indonesia,East Asia & Pacific,Lower middle income,Medium,G8G20,ESP,Spain,Europe,High income,High,G8G20,Cash Pickup,Correspondent Bank,Instant,Medium,Home Delivery,2021-07-10,1370,79.85,KES,24.99,38.9753,0.0148,0.033,1315,17.81,AUD,33.55,48.5359,0.0198,0.0453,0.0052,Transparent,Standard corridor - no special restrictions,,0.479,0.038,0.773,5,1,0.2896,0.1930668121822807,0.3585875083816972,0.3552875080887919,0.1597077492587492,0.6166397424122978,0.4470853495012559,0.4857623401496341,0.5138631755031519,0.2743828603829183,0.4188850317060836,0.4568163052277676,0.3979095759580897,0.2573369134634745,0.3501276143576167,0.3549399951909314,0.4339357096274842,1,1,2,0,2,0.247,0.0198,48.46,0.5660329390408898
464,JPN-UKR,JPN,Japan,East Asia & Pacific,High income,High,G8G20,UKR,Ukraine,Europe & Central Asia,Lower middle income,Low,No,Bank Transfer,Bank Branch,Instant,Very High,Home Delivery,2024-11-23,964,17.74,USD,9.2,52.6979,0.0177,0.0272,960,13.41,CNY,15.3,68.2142,0.012,0.0279,0.0,Transparent,Standard corridor - no special restrictions,,0.279,0.106,0.338,5,1,0.151,0.5249991135033676,0.9415986235627744,0.876265338714847,0.7916920932356764,0.8227669040634491,0.8780000006736279,1.0,0.5384115961315818,0.8438432865088953,0.6406059237415317,0.8676097924440322,0.7902543857105605,0.6986018090642693,0.1512558154863275,0.6638994625666652,0.873501652335356,1,0,1,2,2,0.17,0.0137,124.4,0.27567758928810665
465,TUR-AUS,TUR,Turkey,Europe & Central Asia,Upper middle income,Medium,No,AUS,Australia,Oceania,High income,High,G8G20,Mobile Wallet,Mobile App,Instant,Medium,ATM,2024-12-18,5506,192.51,PHP,56.9,54.7667,0.0078,0.0181,5668,677.34,USD,55.81,23.4317,0.0096,0.0194,0.0165,Transparent,Prefer local bank transfer where possible,,0.285,0.124,0.454,5,0,0.1666,0.334702778656168,0.6647717415394011,0.5108156976958516,0.4394890127431056,0.6742860044718435,0.4431658695952226,0.6447656586063562,0.3792547710626135,0.6053526501181398,0.439077119964355,0.6158807179564829,0.6552739265531796,0.4572949465789317,0.3569556799601963,0.4183403398506177,0.6257050724315387,1,1,3,0,3,0.246,0.0129,27.37,0.43652063403710045
466,SAU-POL,SAU,Saudi Arabia,Middle East & North Africa,High income,High,G8G20,POL,Poland,Europe,High income,Medium,No,Bank Transfer,Correspondent Bank,2-5 days,High,ATM,2025-02-02,1140,16.36,EUR,14.73,34.1002,0.0131,0.026,1121,58.56,AUD,24.8,53.885,0.0058,0.0279,0.0099,Transparent,Prefer local bank transfer where possible,,0.299,0.052,0.046,8,2,0.0959,0.7617896566660927,0.9350650641491954,0.5609401775999727,0.6745844968956625,0.4363249192511013,0.8103281191566706,0.7331474205668927,0.4919279866058521,0.6984616960346811,0.519462870802559,0.6150369780382533,0.6770401910512991,0.4223974600203618,0.2274050282720061,0.4732812225687789,0.4239934252212177,1,1,1,1,1,0.007,0.0003,53.46,0.42348364805601324
467,NOR-BRA,NOR,Norway,Europe,High income,High,No,BRA,Brazil,Latin America & Caribbean,Upper middle income,Medium,G8G20,Card Transfer,Mobile App,Instant,Very High,Mobile Wallet,2025-02-19,370,6.3,INR,2.04,58.4565,0.0074,0.0129,374,7.95,USD,5.14,31.7428,0.0001,0.0138,0.009,Transparent,Standard corridor - no special restrictions,,0.295,0.056,0.457,4,3,0.1638,0.6408372253909999,0.8911400045019346,0.6759869566176351,0.6182405058759397,0.7773184000077042,0.8261549155183415,0.6982833019602737,0.6117982669158788,1.0,0.6467321515423335,0.8312349157472392,0.7759315599040858,0.699437183067547,0.0754383912037077,0.913777154056646,0.713285468216209,0,1,4,0,2,0.085,0.0172,80.1,0.32370000400521104
468,AUS-USA,AUS,Australia,Oceania,High income,High,G8G20,USA,United States,North America,High income,High,G8G20,Bank Transfer,Correspondent Bank,Instant,Medium,Mobile Wallet,2022-09-23,1051,13.82,GBP,17.13,82.9786,0.0031,0.0194,1054,14.54,CNY,20.27,69.4713,0.0034,0.0226,0.0011,Transparent,Standard corridor - no special restrictions,,0.416,0.121,0.393,5,3,0.1828,0.6016226056089181,0.9529328273418683,0.7385590690563981,0.9876386177828602,0.5805296922921804,0.8534483865539984,1.0,0.707608303747421,0.7229407891998437,0.7854614029908407,0.8029445017338052,0.7825513681536721,0.7094621886970316,0.2252904881311648,0.9474627860240672,0.8053293638755722,0,1,2,2,2,0.027,0.0029,37.83,0.3409009252056766
469,VNM-SGP,VNM,Vietnam,East Asia & Pacific,Lower middle income,Medium,No,SGP,Singapore,East Asia & Pacific,High income,High,No,Card Transfer,Bank Branch,Instant,Medium,Home Delivery,2022-02-02,382,4.9,AUD,3.82,56.5541,0.002,0.012,391,19.79,AUD,3.26,15.0095,0.001,0.0093,0.0118,Opaque,Correspondent path uses two intermediaries,,0.218,0.079,0.468,6,0,0.1478,0.3800753878523962,0.497028520826814,0.3182773000155839,0.2870955417976519,0.377685083446253,0.430213964932553,0.3128945949952517,0.2899686780095989,0.2880660029754278,0.6049467475794816,0.1371422072079299,0.398445633431324,0.5570832551377725,0.5353786643041056,0.4904100968105311,0.3619791578119721,1,1,2,2,3,0.066,0.0167,88.99,0.5863398622867367
470,MAR-IDN,MAR,Morocco,Middle East & North Africa,Lower middle income,Low,No,IDN,Indonesia,East Asia & Pacific,Lower middle income,Medium,G8G20,Mobile Wallet,Online Portal,Instant,High,ATM,2022-11-18,3784,357.27,KES,46.21,51.9243,0.0065,0.0187,3962,131.18,EUR,36.64,33.9829,0.0131,0.0223,0.0103,Transparent,Prefer local bank transfer where possible,,0.68,0.05,0.334,8,3,0.2233,0.2699199942540223,0.1309700878589304,0.3746546824443563,0.286927207447713,0.3539597512601635,0.3701215292825066,0.6493833687948192,0.6385805050704767,0.3760649525034081,0.2942279331305926,0.3287328299058547,0.4762248193855283,0.5639486720078173,0.5796808464430189,0.114520475109613,0.4304059606178628,1,1,3,1,3,0.21,0.0003,88.91,0.5809018111226384
471,MAR-IRL,MAR,Morocco,Middle East & North Africa,Lower middle income,Low,No,IRL,Ireland,Europe,High income,High,No,Bank Transfer,Correspondent Bank,1-2 days,High,Home Delivery,2024-03-28,647,8.5,NGN,9.33,2.3761,0.0125,0.0269,635,30.89,PHP,6.4,45.6416,0.0154,0.0255,0.004,Transparent,Correspondent path uses two intermediaries,,0.137,0.02,0.361,6,2,0.1258,0.4682479653740059,0.2096985231536982,0.3711781020395543,0.4341471219363318,0.4412271237589273,0.3351074897097575,0.5619124668276267,0.301594430483758,0.1717776604760081,0.1040630617196382,0.6213019423999171,0.4939996771765341,0.3605568256555002,0.6028329564220964,0.3365201902956247,0.2209116021870066,1,0,2,2,2,0.008,0.0129,35.0,0.6169937963418027
472,GBR-CHN,GBR,United Kingdom,Europe,High income,High,G8G20,CHN,China,East Asia & Pacific,Upper middle income,High,G8G20,Bank Transfer,Bank Branch,1-2 days,Medium,Home Delivery,2022-01-19,802,26.37,PHP,6.84,58.428,0.0093,0.0178,797,49.86,EUR,10.38,41.6001,0.0152,0.0282,0.0167,Transparent,Requires documentation for large amounts,,0.141,0.041,0.259,2,3,0.103,0.6982253226528138,0.5455895341855792,0.6616723615837783,0.7426874980378688,0.9231856056628502,0.8252088243951963,0.9353907736650672,0.9118962126136116,0.8769804112588921,0.8064611816854268,0.8714235215016941,0.702305438990373,0.838793286165518,0.0,0.8410527247580503,0.9800710978111348,1,0,4,0,2,0.13,0.0087,120.37,0.0
473,ESP-POL,ESP,Spain,Europe,High income,High,G8G20,POL,Poland,Europe,High income,Medium,No,Bank Transfer,Bank Branch,1-2 days,Low,Branch,2022-03-19,980,49.85,GBP,8.44,79.6026,0.0013,0.0099,1017,31.88,NGN,12.55,28.8082,0.0089,0.0212,0.0013,Transparent,High AML checks required,,0.521,0.035,0.511,5,0,0.222,0.56693139503267,0.6615003938264551,0.8526241809297915,0.8117148252183901,1.0,0.8281434031127912,0.7358429492966001,0.724368810935395,0.566077923489152,0.6145691192283559,0.9866932797501612,0.9247344897363532,0.7935605141767292,0.3565293025152563,0.7569915709384534,0.6030000133607939,0,1,1,0,1,0.142,0.004,96.59,0.06817707253617372
474,DEU-JPN,DEU,Germany,Europe,High income,High,G8G20,JPN,Japan,East Asia & Pacific,High income,High,G8G20,Card Transfer,Mobile App,3-7 days,High,ATM,2022-01-25,471,29.99,INR,5.64,32.3778,0.0093,0.0213,479,23.05,KES,3.64,15.2039,0.0091,0.0167,0.0045,Opaque,Correspondent path uses two intermediaries,,0.499,0.156,0.754,6,1,0.2696,0.8911839904545318,0.7299533439724879,0.6197102747062141,0.783575539814571,0.7731814651798465,1.0,0.751822692295897,0.5820926088930443,0.4916503781090981,0.7463056197103902,0.8025683863370489,0.6485314472185928,0.8927071753506942,0.069930582308491,0.7966138545275324,0.913719149300504,0,1,3,0,2,0.14,0.0022,51.08,0.41402491209334297
475,IRL-POL,IRL,Ireland,Europe,High income,High,No,POL,Poland,Europe,High income,Medium,No,Mobile Wallet,Agent Network,1-2 days,Very High,Mobile Wallet,2023-07-30,4145,59.41,PHP,30.13,16.7731,0.0135,0.0208,4087,389.19,EUR,11.81,50.2985,0.0034,0.0063,0.0108,Transparent,Standard corridor - no special restrictions,,0.561,0.063,0.247,7,2,0.1752,0.8295043240078336,0.7012572918177882,0.625293580321108,0.8781577853344634,0.897564034776082,0.8503697321564794,0.7384202636557311,0.8229537080406905,0.6593401340239261,0.7377616014487587,1.0,0.7406998917027826,0.5612412891512567,0.2763056630244133,0.9193158592025148,0.7805677364856252,1,1,4,2,2,0.119,0.0088,38.67,0.4473961256201541
476,DEU-IND,DEU,Germany,Europe,High income,High,G8G20,IND,India,South Asia,Lower middle income,High,No,Bank Transfer,Bank Branch,Instant,High,Agent,2021-07-31,2107,37.38,USD,24.48,13.3996,0.0161,0.0277,2151,39.58,NGN,23.09,28.6343,0.0099,0.0206,0.0023,Transparent,Standard corridor - no special restrictions,,0.449,0.094,0.432,5,5,0.2004,0.7345347145573495,0.7389087433626117,0.8082431889063828,0.6781074178811732,0.8866798682371115,0.7422494517424452,0.7322808737669935,0.6735015078209986,0.7049511064219246,0.7441404196879556,0.8982546954133337,0.3773961650285868,0.6530819330703882,0.1969883972827247,0.9806074446329996,0.6203996869941442,1,1,2,0,3,0.198,0.0025,132.42,0.2201156752532346
477,EGY-CHE,EGY,Egypt,Middle East & North Africa,Lower middle income,Low,No,CHE,Switzerland,Europe,High income,High,No,Bank Transfer,Mobile App,1-2 days,Medium,Home Delivery,2024-10-06,4240,206.64,CNY,39.12,83.397,0.0163,0.0255,4064,269.41,PHP,52.69,64.5851,0.0198,0.0328,0.0011,Transparent,Requires documentation for large amounts,,0.194,0.109,0.506,2,3,0.1692,0.3695355941719895,0.5794036371683005,0.1924437764063272,0.4272770271037283,0.3537273799278575,0.3694439509252918,0.3436266999256022,0.2621771229900936,0.6766294577487791,0.4513347046485998,0.602208543414345,0.4790392184203795,0.157249185391765,0.5026050435612032,0.5287515537408816,0.2475920631153066,1,1,2,0,2,0.033,0.0097,126.18,0.7191868355666919
